Bulan,BanjirTahun,,,,CurahHujanTahun,,,,
2017,2018,2019,2020,2017,2018,2019,2020
1,34,9,31,51,269,349,214,301
2,51,40,20,54,404,536,224,393
3,23,12,33,34,213,227,178,232
4,21,5,25,18,182,212,217,292
5,1,2,3,15,105,18,115,270
6,3,0,0,0,190,45,1,22
7,2,0,0,0,31,0,1,72
8,0,0,0,0,15,0,2,56
9,1,0,0,1,105,20,11,91
10,17,0,0,9,484,134,8,164
11,19,3,0,19,381,271,71,240
12,20,14,5,41,278,249,231,380
